year,month,DMI index
1974,6,0.34
1974,7,0.12
1974,8,-0.31
1974,9,-0.49
1974,10,-0.59
1974,11,-0.15
1974,12,-0.27
1975,1,-0.52
1975,2,-0.17
1975,3,-0.56
1975,4,-0.23
1975,5,-0.02
1975,6,0.23
1975,7,0.23
1975,8,-0.24
1975,9,-0.7
1975,10,-0.87
1975,11,-0.45
1975,12,-0.12
1976,1,0.01
1976,2,0.17
1976,3,0.13
1976,4,-0.06
1976,5,0.2
1976,6,0.45
1976,7,0.66
1976,8,0.24
1976,9,0.21
1976,10,0.09
1976,11,-0.12
1976,12,0.12
1977,1,-0.06
1977,2,-0.12
1977,3,0.25
1977,4,-0.14
1977,5,-0.25
1977,6,-0.1
1977,7,0.07
1977,8,0.08
1977,9,0.14
1977,10,0.64
1977,11,0.2
1977,12,-0.09
1978,1,-0.62
1978,2,-0.36
1978,3,-0.46
1978,4,-0.14
1978,5,-0.26
1978,6,0.01
1978,7,0.15
1978,8,-0.03
1978,9,0.21
1978,10,-0.05
1978,11,-0.27
1978,12,-0.33
1979,1,0.17
1979,2,-0.17
1979,3,-0.17
1979,4,-0.07
1979,5,0.15
1979,6,0.19
1979,7,-0.14
1979,8,-0.05
1979,9,-0.13
1979,10,-0.54
1979,11,-0.55
1979,12,0.0
1980,1,-0.19
1980,2,-0.11
1980,3,-0.32
1980,4,0.19
1980,5,0.29
1980,6,-0.53
1980,7,-0.56
1980,8,-0.3
1980,9,-0.35
1980,10,-0.12
1980,11,-0.18
1980,12,-0.17
1981,1,-0.06
1981,2,0.09
1981,3,-0.14
1981,4,0.22
1981,5,0.14
1981,6,-0.36
1981,7,-0.47
1981,8,-0.31
1981,9,-0.4
1981,10,-0.24
1981,11,-0.14
1981,12,-0.18
1982,1,0.16
1982,2,0.21
1982,3,0.23
1982,4,0.14
1982,5,0.31
1982,6,0.24
1982,7,0.32
1982,8,0.55
1982,9,0.68
1982,10,0.98
1982,11,0.56
1982,12,-0.11
1983,1,-0.3
1983,2,-0.46
